datetime;windspeed;winddir;cloudcover;weather
1;11.2;80.9;25.7;2
2;21.9;103.3;32.8;2
3;15.7;94.1;55.1;2
4;13.7;352.2;73.5;2
5;22.2;60.5;77.6;4
6;16;286.9;76.6;4
7;25.4;16.7;44.7;5
8;16.4;25.9;34.7;2
9;14.3;281.8;60.9;2
10;17.2;299.9;96.9;4
11;17.4;30.7;63.5;4
12;15.5;18.9;15;1
13;13.8;46.3;17.6;1
14;16.2;55.4;16.7;1
15;23.1;111.5;26.2;2
16;29.4;111.3;12.3;1
17;25.2;101;3.5;1
18;20.1;89.4;12.3;1
19;13.7;119.1;51.8;4
20;13.9;359.2;78.7;4
21;21.3;33.2;27.4;4
22;20.2;63.9;15.6;1
23;24.9;120.9;64.1;5
24;16.1;359.5;68.9;4
25;14.3;97.3;66.7;2
26;22.8;101;70.6;4
27;24;134.2;41.6;4
28;24.7;132.2;31.4;4
29;15.8;19;68.9;4
30;21;64.4;63;4
31;15.6;67.7;58.5;4
